Name,CR,XP,Race,Class1,Class1_Lvl,Class2,Class2_Lvl,Alignment,Size,Type,subtype1,subtype2,subtype3,subtype4,subtype5,subtype6,AC,AC_Touch,AC_Flat-footed,HP,HD,Fort,Ref,Will,Melee,Ranged,Space,Reach,Str,Dex,Con,Int,Wis,Cha,Feats,Skills,RacialMods,Languages,SQ,Environment,Organization,Treasure,Group,Gear,OtherGear,CharacterFlag,CompanionFlag,Speed,Base_Speed,Fly_Speed,Maneuverability,Climb_Speed,Swim_Speed,Burrow_Speed,Speed_Special,Speed_Land,Fly,Climb,Burrow,Swim,VariantParent,ClassArchetypes,CompanionFamiliarLink,AlternateNameForm,id,UniqueMonster,MR,Mythic,MT,Source
Accuser,3,800,,,,,,LE,Small,outsider,devil,evil,extraplanar,lawful,,,17,15,13,30,4d10+8,6,10,3,bite +5 (1d6 plus 1d6 acid and disease),,5,5,11,18,14,9,15,12,"Improved Initiative, Lightning Reflexes","Bluff +8, Fly +21, Knowledge (planes) +6, Perception +9, Stealth +15",,"Celestial, Draconic, Infernal; telepathy 100 ft.",infernal eye,any (Hell),"solitary, pair, or swarm (3-28)",standard,Devil,,,0,0,"20 ft., fly 60 ft. (perfect)",20,60,,,,,,1,1,0,0,0,,,NULL,Zebub,1160,0,0,0,0,PFRPG Bestiary 2
Achaierai,5,"1,600",,,,,,LE,Large,outsider,evil,extraplanar,lawful,,,,20,11,18,52,7d10+14,7,6,4,"bite +10 (2d6+4), 2 claws +10 (1d6+4)",,10,10 with claw,19,13,14,11,14,16,"Combat Reflexes, Dodge, Mobility, Spring Attack","Acrobatics +11 (+19 jump), Climb +14, Fly +0, Perception +12, Sense Motive +12, Stealth +7, Swim +14",,Infernal,,any land (Hell),solitary or flock (5-8),standard,,,,0,0,50 ft.,50,,,,,,,1,0,0,0,0,,,NULL,,1080,0,0,0,0,PFRPG Bestiary 2
Adamantine Cobra,3,800,,,,,,N,Small,construct,,,,,,,25,13,24,20,1d10+15,0,2,0,bite +3 (1d6+1 plus poison),,5,5,12,15,-,-,11,1,,Stealth +12,+6 Stealth,,find target,any,"solitary, pair, or nest (3-10)",none,Cobra,,,0,0,40 ft.,40,,,,,,,1,0,0,0,0,NULL,,NULL,,871,0,0,0,0,d20pfsrd
Adamantine Golem,19,"204,800",,,,,,N,Huge,construct,,,,,,,33,7,33,205,30d10+40,10,9,10,2 slams +41 (6d10+13/19-20),,15,15,36,9,-,-,11,1,,,,,,any,solitary or gang (2-4),none,Golem,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,NULL,,NULL,,1233,0,0,0,0,PFRPG Bestiary 2
Adamantine Wasp Swarm,10,"9,600",,,,,,N,Fine,construct,swarm,,,,,,24,24,18,82,15d10,5,11,5,swarm (3d6 plus poison),,10,0,1,22,-,-,11,2,,Fly +18,,,,any,"solitary, cloud (2-4 swarms) or plague (5-8 swarms)",none,Adamantine Wasp,,,0,0,"5 ft., fly 40 ft. (good)",5,,good,,,,,1,1,0,0,0,,,NULL,,3043,0,0,0,0,Tome of Horrors Complete
Adaro,3,800,,,,,,NE,Medium,monstrous humanoid,aquatic,,,,,,15,13,12,30,4d10+8,3,7,5,"spear +8 (1d8+4/x3 plus poison), bite +2 (1d6+3)",spear +8 (1d8+3/x3),5,5,16,17,14,10,13,13,"Deadly Aim, Weapon Focus (spear)","Intimidate +8, Perception +8, Stealth +10, Swim +18",,"Aquan, Common; speak with sharks","amphibious, poison use",warm oceans,"solitary, hunting party (2-6), or tribe (7-12)","standard (3 spears, other treasure)",,,,0,0,"10 ft., swim 50 ft.",10,,,,50,,,1,0,0,0,1,,,NULL,,1958,0,0,0,0,PFRPG Bestiary 3
Addath,16,"76,800",,,,,,CE,Huge,aberration,,,,,,,28,10,26,220,21d8+126,15,11,14,"4 tentacles +24 (2d6+10 plus grab), bite +24 (4d6+10 plus poison)",,15,10,31,15,23,12,14,14,"Bleeding Critical, Cleave, Critical Focus, Great Fortitude, Improved Critical (tentacle), Improved Initiative, Lightning Reflexes, Power Attack, Vital Strike, Weapon Focus (bite), Weapon Focus (tentacle)","Acrobatics +15, Climb +42, Escape Artist +26, Perception +26, Stealth +18, Survival +16",,"Common, Undercommon",,any underground,solitary,standard,,,,0,0,"40 ft., climb 40 ft.",40,,,,,,,1,0,1,0,0,NULL,,NULL,,4699,0,0,0,0,Tome of Horrors 4
Addu,15,"51,200",,,,,,N,Gargantuan,magical beast,aquatic,,,,,,28,10,24,212,17d10+119,17,14,9,"bite +26 (4d6+13/19-20), 2 claw +26 (2d8+13/19-20), tail slap +21 (2d8+6)",,20,20 (30 with tail slap),36,18,25,2,15,13,"Critical Focus, Endurance, Improved Critical (bite), Improved Critical (claw), Improved Iron Will, Iron Will, Power Attack, Sickening Critical, Vital Strike","Perception +21, Swim +25",,,,warm oceans,solitary or pair,none,,,,0,0,"10 ft., swim 80 ft.",10,,,,,,,1,0,0,0,1,,,NULL,,3326,0,0,0,0,AP 60
Adherer,3,800,,,,,,LE,Medium,monstrous humanoid,,,,,,,17,13,14,30,4d10+8,3,7,5,2 slams +6 (1d6+2 plus grab),,5,5,14,16,15,4,13,11,"Agile Maneuvers, Combat Reflexes","Climb +10, Craft (cloth) +3, Craft (traps) +1, Perception +5, Stealth +11","+2 Craft (cloth), +4 Stealth",Aklo,adhesive,any temperate or underground,"solitary, gang (2-5), or nest (6-12)",standard,,,,0,0,"30 ft., climb 10 ft.",30,,,10,,,,1,0,1,0,0,,,NULL,,1959,0,0,0,0,PFRPG Bestiary 3
Adherer,3,800,,,,,,LE,Medium,aberration,,,,,,,16,11,15,26,4d8+8,3,2,4,2 slams +6 (1d6+2 plus adhesive),,5,5,14,12,14,4,11,11,"Skill Focus (Perception), Weapon Focus (slam)","Perception +8, Stealth +6 (+14 Stealth when using sticks and leaves to camouflage itself in its natural environment)",+8 Stealth when using sticks and leaves to camouflage itself in its natural environment,Common (can't speak),,temperate forests,solitary or gang (2-4),none,,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,1843,0,0,0,0,Tome of Horrors Complete
Adhukait,7,"3,200",,,,,,LE,Medium,outsider,asura,evil,extraplanar,lawful,,,20,14,16,76,9d10+27,6,11,9,"2 mwk kukris +15/+10 (1d4+5/18-20), 2 claws +9 (1d4+2)",,5,5,20,17,17,13,16,16,"Combat Reflexes, Dodge, Lightning Reflexes, Mobility, Nimble Moves","Acrobatics +15 (+19 when jumping), Bluff +15, Escape Artist +21, Intimidate +11, Knowledge (planes) +9, Perception +19, Perform (dance) +14, Stealth +15","Acrobatics (+4 when jumping), +6 Escape Artist, +4 Perception","Common, Infernal; telepathy 100 ft.",,any (Hell),"solitary, pair, or band (3-12)","standard (2 masterwork kukris, other treasure)",Asura,,,0,0,40 ft.,40,,,,,,,1,0,0,0,0,,,NULL,,1972,0,0,0,0,PFRPG Bestiary 3
Adlet,10,"9,600",,,,,,CN,Medium,humanoid,adlet,cold,,,,,25,20,15,127,15d8+60,9,17,8,"+1 spear +17/+12/+7 (1d8+7/x3), bite +10 (1d6+2 plus 1d6 cold)",,5,5,18,26,18,13,17,13,"Diehard, Dodge, Improved Initiative, Multiattack, Power Attack, Run, Self-Sufficient, Weapon Focus (spear)","Acrobatics +13 (+17 when jumping), Climb +12, Handle Animal +9, Heal +5, Perception +13, Stealth +13 (+21 in snow), Survival +20, Swim +9",+8 Stealth in snow,"Common, Adlet",arctic stride,"cold plains, hills, or mountains","solitary, pair, or pack (3-18 plus 1 shaman)","standard (+1 spear, other treasure)",,,,0,0,40 ft.,40,,,,,,,1,0,0,0,0,,,NULL,,1960,0,0,0,0,PFRPG Bestiary 3
Adult Black Dragon,11,"12,800",,,,,,CE,Large,dragon,water,,,,,,28,10,27,161,14d12+70,14,10,12,"bite +21 (2d6+10), 2 claws +20 (1d8+7), 2 wings +15 (1d6+3), tail +15 (1d8+10)",,10,5 (10 with bite),25,12,21,14,17,14,"Alertness, Improved Initiative, Improved Vital Strike, Power Attack, Skill Focus (Stealth), Vital Strike, Weapon Focus (bite)","Fly +12, Handle Animal +16, Intimidate +19, Knowledge (arcana) +19, Perception +24, Spellcraft +19, Stealth +20, Swim +32",,"Common, Draconic, Giant","speak with reptiles, swamp stride, water breathing",warm marshes,solitary,triple,Chromatic Dragon,,,0,0,"60 ft., fly 200 ft. (poor), swim 60 ft.",60,200,poor,,60,,,1,1,0,0,1,,,NULL,,112,0,0,0,0,PFRPG Bestiary
Adult Blue Dragon,13,"25,600",,,,,,LE,Huge,dragon,earth,,,,,,28,8,28,184,16d12+80,15,10,13,"bite +23 (2d8+12), 2 claws +22 (2d6+8), 2 wings +20 (1d8+4), tail slap +20 (2d6+12)",,15,10 (15 with bite),27,10,21,16,17,16,"Combat Casting, Dazzling Display, Deadly Stroke, Hover, Improved Initiative, Multiattack, Shatter Defenses, Weapon Focus (bite)","Appraise +22, Fly +11, Intimidate +22, Knowledge (local) +22, Knowledge (geography) +22, Perception +22, Spellcraft +22, Stealth +11, Survival +22",,"Auran, Common, Draconic, Giant",sound imitation,warm deserts,solitary,triple,Chromatic Dragon,,,0,0,"40 ft., burrow 20 ft., fly 200 ft. (poor)",40,200,poor,,,20,,1,1,0,1,0,,,NULL,,118,0,0,0,0,PFRPG Bestiary
Adult Brass Dragon,11,"12,800",,,,,,CG,Large,dragon,fire,,,,,,28,10,27,161,14d12+70,14,10,12,"bite +20 (2d6+10), 2 claws +20 (1d8+7), 2 wings +15 (1d6+3), tail slap +15 (1d8+10)",,5,5,25,12,21,16,17,16,"Alertness, Flyby Attack, Hover, Greater Spell Focus (enchant), Improved Initiative, Power Attack, Spell Focus (enchant)","Bluff +20, Diplomacy +20, Fly +12, Heal +20, Linguistics +20, Perception +24, Sense Motive +24, Spellcraft +20, Survival +20",,"Common, Draconic, plus any 14 others",move sand,warm deserts,solitary,triple,Metallic Dragon,,,0,0,"60 ft., burrow 30 ft., fly 200 ft. (poor)",60,200,poor,,,30,,1,1,0,1,0,,,NULL,,129,0,0,0,0,PFRPG Bestiary
Adult Brine Dragon,11,"12,800",,,,,,LN,Large,dragon,extraplanar,water,,,,,27,9,27,147,14d12+56,13,11,12,"bite +23 (2d6+15), 2 claws +23 (1d8+10), tail slap +18 (1d8+15), 2 wings +18 (1d6+5)",,10,5 (10 with bite),30,11,19,19,16,17,"Hover, Improved Initiative, Improved Vital Strike, Lightning Reflexes, Power Attack, Skill Focus (Swim), Vital Strike","Bluff +20, Diplomacy +20, Fly +11, Heal +20, Knowledge (arcana) +21, Knowledge (nature) +21, Perception +20, Sense Motive +20, Survival +20, Swim +41",,"Aquan, Common, Draconic, Elven, Halfling",water breathing,any aquatic (Plane of Water),solitary,triple,Primal Dragon,,,0,0,"60 ft., fly 200 ft. (poor), swim 60 ft.",60,200,,,,,,1,1,0,0,1,,,NULL,,1171,0,0,0,0,PFRPG Bestiary 2
Adult Bronze Dragon,13,"25,600",,,,,,LG,Huge,dragon,water,,,,,,28,8,28,184,16d12+80,15,10,15,"bite +22 (2d8+12), 2 claws +22 (2d6+8), 2 wings +20 (1d8+4), tail slap +20 (2d6+12)",,15,10 (15 with bite),27,10,21,20,21,20,"Alertness, Cleave, Flyby Attack, Hover, Improved Vital Strike, Multiattack, Power Attack, Vital Strike","Diplomacy +24, Fly +11, Handle Animals +21, Intimidate +24, Knowledge (arcana, geography) +24, Perception +28, Sense Motive +28, Spellcraft +24, Stealth +11, Swim +35",,"Aquan, Common, Draconic, Elven, Gnome, 2 more","change shape, water breathing, wave mastery",temperate coastlines,solitary,triple,Metallic Dragon,,,0,0,"40 ft., fly 200 ft. (poor), swim 60 ft.",40,200,poor,,60,,,1,1,0,0,1,,,NULL,,132,0,0,0,0,PFRPG Bestiary
Adult Cloud Dragon,11,"12,800",,,,,,N,Huge,dragon,air,,,,,,28,9,27,161,14d12+70,14,10,13,"bite +20 (2d8+12), 2 claws +20 (2d6+8), 2 wings +15 (1d8+4), tail slap +15 (2d6+12)",,15,10 (15 with bite),27,12,21,16,19,18,"Alertness, Flyby Attack, Hover, Improved Initiative, Power Attack, Skill Focus (Fly), Wingover","Bluff +21, Diplomacy +21, Fly +16, Intimidate +21, Knowledge (arcana) +20, Knowledge (nature) +20, Perception +25, Sense Motive +25, Spellcraft +20",,"Auran, Aquan, Common, Draconic, Giant",cloud form,temperate and warm mountains,solitary or clan (2-5),triple standard,Dragon,,,0,0,"40 ft., fly 200 ft. (poor)",40,,poor,,,,,1,1,0,0,0,,,NULL,,2526,0,0,0,0,Tome of Horrors Complete
Adult Cloud Dragon,13,"25,600",,,,,,CN,Huge,dragon,air,extraplanar,,,,,29,7,29,184,16d12+80,15,9,15,"bite +22 (2d8+10/19-20), 2 claws +22 (2d6+7), tail slap +19 (2d6+10), 2 wings +19 (1d8+3)",,15,10 (15 with bite),24,9,21,16,20,19,"Critical Focus, Improved Critical (bite), Improved Initiative, Multiattack, Power Attack, Skill Focus (Diplomacy), Weapon Focus (bite, claws)","Appraise +22, Diplomacy +29, Fly +10, Intimidate +23, Knowledge (planes) +22, Perception +24, Sense Motive +24, Stealth +10, Survival +24, Swim +15",,"Auran, Common, Draconic, Elven",cloud form (16 rounds/day),any sky (Plane of Air),solitary,triple,Primal Dragon,,,0,0,"40 ft., fly 200 ft. (poor), swim 40 ft.",40,200,,,,,,1,1,0,0,1,,,NULL,,1174,0,0,0,0,PFRPG Bestiary 2
Adult Copper Dragon,12,"19,200",,,,,,CG,Large,dragon,earth,,,,,,29,10,28,172,15d12+75,14,10,13,"bite +21 (2d6+10/19-20), 2 claws +21 (1d8+7/19-20), 2 wings +16 (1d6+3), tail +16 (1d8+10)",,10,5 (10 with bite),25,12,21,18,19,18,"Combat Expertise, Greater Trip, Improved Critcal (bite, claw), Improved Initiative, Improved Trip, Power Attack, Vital Strike","Bluff +22, Craft (traps) +28, Diplomacy +22, Fly +13, Perception +22, Perform (comedy) +19, Sense Motive +22, Spellcraft +22, Stealth +15, Use Magic Device +22",,"Common, Draconic, Elven, Gnome, Halfling",trap master,warm hills,solitary,triple,Metallic Dragon,,,0,0,"40 ft., fly 200 ft. (poor)",40,200,poor,,,,,1,1,1,0,0,,,NULL,,135,0,0,0,0,PFRPG Bestiary
Adult Crystal Dragon,10,"9,600",,,,,,CG,Large,dragon,earth,extraplanar,,,,,27,10,26,149,13d12+65,15,11,11,"bite +19 (2d6+9/19-20), 2 claws +18 (1d8+6), tail slap +16 (1d8+9), 2 wings +16 (1d6+3)",,10,5 (10 with bite),23,12,21,16,17,22,"Deceitful, Great Fortitude, Improved Critical (bite), Lightning Reflexes, Multiattack, Power Attack, Weapon Focus (bite)","Bluff +26, Climb +30, Disguise +23, Fly +11, Intimidate +22, Knowledge (dungeoneering) +19, Perception +19, Sense Motive +19, Stealth +13",,"Common, Draconic, Terran, Undercommon",razor sharp,any underground (Plane of Earth),solitary,triple,Primal Dragon,,,0,0,"60 ft., burrow 30 ft., climb 30 ft., fly 200 ft. (poor)",60,,,,,30,,1,1,1,1,0,,,NULL,,1177,0,0,0,0,PFRPG Bestiary 2
Adult Dungeon Dragon,9,"6,400",,,,,,N,Large,dragon,shapechanger,,,,,,25,9,25,104,11d12+33,10,7,12,"bite +17 (2d6+10), 2 claws +17 (1d8+7), 2 wings +15 (1d6+3), tail slap +15 (1d6+10)",,10,5 (10 with bite),25,11,16,16,16,14,"Alertness, Craft Wondrous ItemB, Flyby Attack, Iron Will, Master CraftsmanB, Multiattack, Skill Focus (Craft [crystal carving]), Skill Focus (Knowledge [engineering])","Bluff +16, Craft (crystal carving) +15, Craft (traps) +11, Diplomacy +11, Disable Device +8, Fly +2, Knowledge (arcana) +17, Knowledge (dungeoneering) +10, Knowledge (engineering) +23, Linguistics +8, Perception +25, Sense Motive +21, Spellcraft +17",+4 Perception,"Aklo, Common, Draconic, Gnoll, Goblin, Orc, Undercommon","change shape (alter self), craft crystal ball",underground,solitary,triple standard plus crystal ball,Dragon,,,0,0,"30 ft., fly 200 ft. (poor)",30,,poor,,,,,1,1,0,0,0,,,NULL,,2529,0,0,0,0,Tome of Horrors Complete
Adult Forest Dragon,14,"38,400",,,,,,CE,Huge,dragon,earth,,,,,,30,8,30,229,17d12+119,16,10,15,"bite +25 (2d8+13), 2 claws +24 (2d6+9), gore +24 (2d6+13), tail slap +22 (2d6+13)",,15,10 (15 with bite and gore),29,10,22,16,17,16,"Improved Initiative, Improved Natural Armor, Iron Will, Multiattack, Power Attack, Skill Focus (Stealth), Stealthy, Toughness, Weapon Focus (bite)","Acrobatics +11 (+15 when jumping), Bluff +23, Climb +37, Escape Artist +2, Fly +12, Intimidate +23, Knowledge (arcana) +15, Knowledge (nature) +15, Perception +23, Spellcraft +23, Stealth +22, Survival +16",,"Common, Draconic, Sylvan","change shape, sound imitation, woodland stride",any forest,solitary,triple,Imperial Dragon,,,0,0,"40 ft., burrow 20 ft., climb 30 ft., fly 200 ft. (poor)",40,200,,,,,,1,1,1,1,0,,,NULL,,2037,0,0,0,0,PFRPG Bestiary 3
Adult Gold Dragon,15,"51,200",,,,,,LG,Huge,dragon,fire,,,,,,30,8,30,225,18d12+108,17,11,18,"bite +26 (2d8+15/19-20), 2 claws +26 (2d6+10/19-20), 2 wings +24 (1d8+5), tail +24 (2d6+15)",,15,10 (15 with bite),31,10,23,20,21,20,"Alertness, Critical Focus, Extend Spell, Improved Critical (bite, claw), Iron Will, Multiattack, Power Attack, Vital Strike","Diplomacy +26, Fly +13, Heal +26, Knowledge (arcana, local, nobility, religion) +26, Perception +30, Sense Motive +30, Spellcraft +26, Swim +39",,"Celestial, Common, Draconic, 3 more","change shape, detect gems, fast flight, luck",warm plains,solitary,triple,Metallic Dragon,,,0,0,"60 ft., fly 250 ft. (poor), swim 60 ft.",60,250,poor,,60,,,1,1,0,0,1,,,NULL,,138,0,0,0,0,PFRPG Bestiary
Adult Gray Dragon,10,"9,600",,,,,,NE,Large,dragon,water,,,,,,29,10,28,149,13d12+65,13,11,11,"2 claws +19 (1d8+7), bite +20 (2d6+10/19-20), 2 wings +17 (1d6+3), tail slap +17 (1d8+10)",,10,5 (10 with bite),25,12,21,15,17,15,"Alertness, Improved Critical (bite), Improved Initiative, Lightning Reflexes, Multiattack, Power Attack, Weapon Focus (bite)","Bluff +18, Fly +15, Intimidate +18, Knowledge (local) +18, Perception +23, Sense Motive +23, Stealth +13, Swim +31",,"Aquan, Common, Draconic Special Abilities",,warm coastlines,solitary,triple standard,Dragon,,,0,0,"60 ft., fly 200 ft. (average), swim 40 ft.",60,,average,,,,,1,1,0,0,1,,,NULL,,4797,0,0,0,0,Tome of Horrors 4
Adult Green Dragon,12,"19,200",,,,,,LE,Huge,dragon,air,,,,,,27,8,27,172,15d12+75,14,9,14,"bite +21 (2d8+12/19-20), 2 claws +21 (2d6+8/19-20), 2 wings +16 (1d8+4), tail slap +16 (2d6+12)",,15,10 (15 with bite),27,10,21,16,17,16,"Alertness, Cleave, Flyby Attack, Great Cleave, Improved Critical (bite, claws), Iron Will, Power Attack","Fly +10, Knowledge (arcane) +21, Knowledge (nature) +21, Perception +25, Spellcraft +21, Stealth +10, Survival +21, Swim +34, Use Magic Device +21",,"Common, Draconic, Elven, Sylvan","trackless step, water breathing, woodland stride",temperate forests,solitary,triple,Chromatic Dragon,,,0,0,"40 ft., fly 200 ft. (poor), swim 40 ft.",40,200,poor,,40,,,1,1,0,0,1,,,NULL,,120,0,0,0,0,PFRPG Bestiary
